audio_ref-1_1,audio_ref-1_2,audio-1_1,audio-1_2,audio-1_3,audio-1_4,audio-1_5,audio-1_6,audio-1_7,audio-1_8,audio-1_9,text-1,audio_ref-2_1,audio_ref-2_2,audio-2_1,audio-2_2,audio-2_3,audio-2_4,audio-2_5,audio-2_6,audio-2_7,audio-2_8,audio-2_9,text-2
p255/ref/p255_031.wav,p255/ref/p255_139.wav,p255/raw/p255_234.wav,p255/recon/p255_234.recon.wav,p255/libri_mask-FT/FT/p255_234-epoch=10-batch_idx=0.wav,p255/mask-FT/FT/p255_234-epoch=6-batch_idx=0.wav,p255/FT-mask/mask/p255_234-epoch=6-batch_idx=0.wav,p255/mask-FT/mask/p255_234-epoch=5-batch_idx=0.wav,p255/libri_mask-FT/libri_mask/p255_234-epoch=9-batch_idx=0.wav,p255/joint/joint/p255_234-epoch=5-batch_idx=0.wav,p255/FT-mask/FT/p255_234-epoch=0-batch_idx=0.wav,our numbers are small.,p374/ref/p374_152.wav,p374/ref/p374_226.wav,p374/mask-FT/mask/p374_241-epoch=5-batch_idx=0.wav,p374/FT-mask/mask/p374_241-epoch=6-batch_idx=0.wav,p374/libri_mask-FT/FT/p374_241-epoch=7-batch_idx=0.wav,p374/libri_mask-FT/libri_mask/p374_241-epoch=6-batch_idx=0.wav,p374/joint/joint/p374_241-epoch=5-batch_idx=0.wav,p374/FT-mask/FT/p374_241-epoch=0-batch_idx=0.wav,p374/recon/p374_241.recon.wav,p374/raw/p374_241.wav,p374/mask-FT/FT/p374_241-epoch=6-batch_idx=0.wav,it's always somebody else's.
p244/ref/p244_243.wav,p244/ref/p244_403.wav,p244/mask-FT/FT/p244_178-epoch=6-batch_idx=0.wav,p244/mask-FT/mask/p244_178-epoch=5-batch_idx=0.wav,p244/recon/p244_178.recon.wav,p244/FT-mask/mask/p244_178-epoch=6-batch_idx=0.wav,p244/FT-mask/FT/p244_178-epoch=0-batch_idx=0.wav,p244/libri_mask-FT/libri_mask/p244_178-epoch=5-batch_idx=0.wav,p244/raw/p244_178.wav,p244/joint/joint/p244_178-epoch=13-batch_idx=0.wav,p244/libri_mask-FT/FT/p244_178-epoch=6-batch_idx=0.wav,"it sounds like an appalling, tragic incident.",p276/ref/p276_288.wav,p276/ref/p276_064.wav,p276/mask-FT/FT/p276_286-epoch=6-batch_idx=0.wav,p276/mask-FT/mask/p276_286-epoch=5-batch_idx=0.wav,p276/FT-mask/FT/p276_286-epoch=0-batch_idx=0.wav,p276/joint/joint/p276_286-epoch=5-batch_idx=0.wav,p276/libri_mask-FT/libri_mask/p276_286-epoch=7-batch_idx=0.wav,p276/recon/p276_286.recon.wav,p276/libri_mask-FT/FT/p276_286-epoch=8-batch_idx=0.wav,p276/FT-mask/mask/p276_286-epoch=6-batch_idx=0.wav,p276/raw/p276_286.wav,their extinction is not inevitable.
p236/ref/p236_039.wav,p236/ref/p236_211.wav,p236/mask-FT/mask/p236_229-epoch=5-batch_idx=0.wav,p236/raw/p236_229.wav,p236/mask-FT/FT/p236_229-epoch=6-batch_idx=0.wav,p236/joint/joint/p236_229-epoch=10-batch_idx=0.wav,p236/recon/p236_229.recon.wav,p236/libri_mask-FT/FT/p236_229-epoch=7-batch_idx=0.wav,p236/FT-mask/FT/p236_229-epoch=0-batch_idx=0.wav,p236/libri_mask-FT/libri_mask/p236_229-epoch=6-batch_idx=0.wav,p236/FT-mask/mask/p236_229-epoch=5-batch_idx=0.wav,death is outside the language.,p283/ref/p283_135.wav,p283/ref/p283_175.wav,p283/libri_mask-FT/FT/p283_155-epoch=6-batch_idx=0.wav,p283/libri_mask-FT/libri_mask/p283_155-epoch=5-batch_idx=0.wav,p283/mask-FT/mask/p283_155-epoch=5-batch_idx=0.wav,p283/FT-mask/FT/p283_155-epoch=0-batch_idx=0.wav,p283/mask-FT/FT/p283_155-epoch=6-batch_idx=0.wav,p283/recon/p283_155.recon.wav,p283/raw/p283_155.wav,p283/joint/joint/p283_155-epoch=6-batch_idx=0.wav,p283/FT-mask/mask/p283_155-epoch=5-batch_idx=0.wav,their prescription is largely about changing attitudes.
p376/ref/p376_034.wav,p376/ref/p376_279.wav,p376/joint/joint/p376_357-epoch=21-batch_idx=0.wav,p376/libri_mask-FT/FT/p376_357-epoch=11-batch_idx=0.wav,p376/recon/p376_357.recon.wav,p376/mask-FT/mask/p376_357-epoch=5-batch_idx=0.wav,p376/FT-mask/FT/p376_357-epoch=0-batch_idx=0.wav,p376/mask-FT/FT/p376_357-epoch=10-batch_idx=0.wav,p376/libri_mask-FT/libri_mask/p376_357-epoch=9-batch_idx=0.wav,p376/raw/p376_357.wav,p376/FT-mask/mask/p376_357-epoch=5-batch_idx=0.wav,it could really have been a disaster.,p260/ref/p260_136.wav,p260/ref/p260_231.wav,p260/recon/p260_346.recon.wav,p260/mask-FT/mask/p260_346-epoch=5-batch_idx=0.wav,p260/mask-FT/FT/p260_346-epoch=6-batch_idx=0.wav,p260/FT-mask/mask/p260_346-epoch=6-batch_idx=0.wav,p260/joint/joint/p260_346-epoch=5-batch_idx=0.wav,p260/raw/p260_346.wav,p260/libri_mask-FT/libri_mask/p260_346-epoch=5-batch_idx=0.wav,p260/libri_mask-FT/FT/p260_346-epoch=6-batch_idx=0.wav,p260/FT-mask/FT/p260_346-epoch=0-batch_idx=0.wav,this is a big advantage.
p231/ref/p231_268.wav,p231/ref/p231_254.wav,p231/libri_mask-FT/libri_mask/p231_011-epoch=6-batch_idx=0.wav,p231/raw/p231_011.wav,p231/mask-FT/FT/p231_011-epoch=11-batch_idx=0.wav,p231/joint/joint/p231_011-epoch=15-batch_idx=0.wav,p231/recon/p231_011.recon.wav,p231/libri_mask-FT/FT/p231_011-epoch=25-batch_idx=0.wav,p231/FT-mask/mask/p231_011-epoch=13-batch_idx=0.wav,p231/FT-mask/FT/p231_011-epoch=8-batch_idx=0.wav,p231/mask-FT/mask/p231_011-epoch=5-batch_idx=0.wav,"when a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow. ",p318/ref/p318_051.wav,p318/ref/p318_410.wav,p318/libri_mask-FT/libri_mask/p318_348-epoch=8-batch_idx=0.wav,p318/FT-mask/mask/p318_348-epoch=6-batch_idx=0.wav,p318/mask-FT/FT/p318_348-epoch=6-batch_idx=0.wav,p318/mask-FT/mask/p318_348-epoch=5-batch_idx=0.wav,p318/FT-mask/FT/p318_348-epoch=0-batch_idx=0.wav,p318/joint/joint/p318_348-epoch=5-batch_idx=0.wav,p318/libri_mask-FT/FT/p318_348-epoch=9-batch_idx=0.wav,p318/raw/p318_348.wav,p318/recon/p318_348.recon.wav,"on reflection, it was really quite exciting."
p270/ref/p270_331.wav,p270/ref/p270_319.wav,p270/recon/p270_138.recon.wav,p270/FT-mask/FT/p270_138-epoch=0-batch_idx=0.wav,p270/joint/joint/p270_138-epoch=5-batch_idx=0.wav,p270/FT-mask/mask/p270_138-epoch=6-batch_idx=0.wav,p270/mask-FT/mask/p270_138-epoch=5-batch_idx=0.wav,p270/libri_mask-FT/FT/p270_138-epoch=7-batch_idx=0.wav,p270/mask-FT/FT/p270_138-epoch=6-batch_idx=0.wav,p270/raw/p270_138.wav,p270/libri_mask-FT/libri_mask/p270_138-epoch=6-batch_idx=0.wav,they made such decisions in london.,p277/ref/p277_064.wav,p277/ref/p277_171.wav,p277/libri_mask-FT/FT/p277_267-epoch=6-batch_idx=0.wav,p277/mask-FT/mask/p277_267-epoch=5-batch_idx=0.wav,p277/raw/p277_267.wav,p277/FT-mask/FT/p277_267-epoch=0-batch_idx=0.wav,p277/FT-mask/mask/p277_267-epoch=5-batch_idx=0.wav,p277/libri_mask-FT/libri_mask/p277_267-epoch=5-batch_idx=0.wav,p277/joint/joint/p277_267-epoch=5-batch_idx=0.wav,p277/mask-FT/FT/p277_267-epoch=6-batch_idx=0.wav,p277/recon/p277_267.recon.wav,it was very fast.
p329/ref/p329_218.wav,p329/ref/p329_302.wav,p329/recon/p329_087.recon.wav,p329/mask-FT/mask/p329_087-epoch=5-batch_idx=0.wav,p329/mask-FT/FT/p329_087-epoch=6-batch_idx=0.wav,p329/FT-mask/FT/p329_087-epoch=0-batch_idx=0.wav,p329/raw/p329_087.wav,p329/FT-mask/mask/p329_087-epoch=6-batch_idx=0.wav,p329/joint/joint/p329_087-epoch=5-batch_idx=0.wav,p329/libri_mask-FT/FT/p329_087-epoch=7-batch_idx=0.wav,p329/libri_mask-FT/libri_mask/p329_087-epoch=6-batch_idx=0.wav,it is a difficult thing to explain.,p279/ref/p279_353.wav,p279/ref/p279_381.wav,p279/mask-FT/FT/p279_157-epoch=6-batch_idx=0.wav,p279/raw/p279_157.wav,p279/joint/joint/p279_157-epoch=6-batch_idx=0.wav,p279/libri_mask-FT/libri_mask/p279_157-epoch=7-batch_idx=0.wav,p279/mask-FT/mask/p279_157-epoch=5-batch_idx=0.wav,p279/FT-mask/mask/p279_157-epoch=6-batch_idx=0.wav,p279/libri_mask-FT/FT/p279_157-epoch=8-batch_idx=0.wav,p279/recon/p279_157.recon.wav,p279/FT-mask/FT/p279_157-epoch=0-batch_idx=0.wav,i am very happy with life.
p336/ref/p336_121.wav,p336/ref/p336_036.wav,p336/raw/p336_004.wav,p336/libri_mask-FT/libri_mask/p336_004-epoch=7-batch_idx=0.wav,p336/libri_mask-FT/FT/p336_004-epoch=14-batch_idx=0.wav,p336/joint/joint/p336_004-epoch=13-batch_idx=0.wav,p336/mask-FT/FT/p336_004-epoch=8-batch_idx=0.wav,p336/FT-mask/FT/p336_004-epoch=10-batch_idx=0.wav,p336/mask-FT/mask/p336_004-epoch=5-batch_idx=0.wav,p336/recon/p336_004.recon.wav,p336/FT-mask/mask/p336_004-epoch=14-batch_idx=0.wav,we also need a small plastic snake and a big toy frog for the kids.,p264/ref/p264_430.wav,p264/ref/p264_313.wav,p264/FT-mask/mask/p264_083-epoch=6-batch_idx=0.wav,p264/mask-FT/FT/p264_083-epoch=6-batch_idx=0.wav,p264/libri_mask-FT/libri_mask/p264_083-epoch=5-batch_idx=0.wav,p264/recon/p264_083.recon.wav,p264/libri_mask-FT/FT/p264_083-epoch=6-batch_idx=0.wav,p264/FT-mask/FT/p264_083-epoch=0-batch_idx=0.wav,p264/raw/p264_083.wav,p264/joint/joint/p264_083-epoch=5-batch_idx=0.wav,p264/mask-FT/mask/p264_083-epoch=5-batch_idx=0.wav,now comes the hard part.
p317/ref/p317_390.wav,p317/ref/p317_164.wav,p317/FT-mask/FT/p317_109-epoch=0-batch_idx=0.wav,p317/mask-FT/mask/p317_109-epoch=5-batch_idx=0.wav,p317/raw/p317_109.wav,p317/joint/joint/p317_109-epoch=5-batch_idx=0.wav,p317/mask-FT/FT/p317_109-epoch=6-batch_idx=0.wav,p317/libri_mask-FT/libri_mask/p317_109-epoch=7-batch_idx=0.wav,p317/recon/p317_109.recon.wav,p317/libri_mask-FT/FT/p317_109-epoch=8-batch_idx=0.wav,p317/FT-mask/mask/p317_109-epoch=6-batch_idx=0.wav,we understand the changes in the world.,p300/ref/p300_331.wav,p300/ref/p300_079.wav,p300/FT-mask/mask/p300_005-epoch=6-batch_idx=0.wav,p300/libri_mask-FT/libri_mask/p300_005-epoch=5-batch_idx=0.wav,p300/raw/p300_005.wav,p300/libri_mask-FT/FT/p300_005-epoch=6-batch_idx=0.wav,p300/joint/joint/p300_005-epoch=5-batch_idx=0.wav,p300/mask-FT/FT/p300_005-epoch=6-batch_idx=0.wav,p300/FT-mask/FT/p300_005-epoch=0-batch_idx=0.wav,p300/mask-FT/mask/p300_005-epoch=5-batch_idx=0.wav,p300/recon/p300_005.recon.wav,"she can scoop these things into three red bags, and we will go meet her wednesday at the train station."
p252/ref/p252_381.wav,p252/ref/p252_176.wav,p252/libri_mask-FT/libri_mask/p252_100-epoch=7-batch_idx=0.wav,p252/libri_mask-FT/FT/p252_100-epoch=8-batch_idx=0.wav,p252/recon/p252_100.recon.wav,p252/FT-mask/mask/p252_100-epoch=6-batch_idx=0.wav,p252/joint/joint/p252_100-epoch=5-batch_idx=0.wav,p252/FT-mask/FT/p252_100-epoch=0-batch_idx=0.wav,p252/mask-FT/FT/p252_100-epoch=6-batch_idx=0.wav,p252/raw/p252_100.wav,p252/mask-FT/mask/p252_100-epoch=5-batch_idx=0.wav,the circumstances have changed since last year.,p247/ref/p247_052.wav,p247/ref/p247_398.wav,p247/mask-FT/mask/p247_205-epoch=5-batch_idx=0.wav,p247/FT-mask/mask/p247_205-epoch=6-batch_idx=0.wav,p247/libri_mask-FT/libri_mask/p247_205-epoch=6-batch_idx=0.wav,p247/FT-mask/FT/p247_205-epoch=0-batch_idx=0.wav,p247/mask-FT/FT/p247_205-epoch=6-batch_idx=0.wav,p247/joint/joint/p247_205-epoch=5-batch_idx=0.wav,p247/raw/p247_205.wav,p247/libri_mask-FT/FT/p247_205-epoch=7-batch_idx=0.wav,p247/recon/p247_205.recon.wav,the early physical reports were clear.
