audio_ref_1_1,audio_ref_1_2,audio_1-1,audio_1-2,audio_1-3,audio_1-4,audio_1-5,audio_1-6,audio_1-7,audio_1-8,audio_1-9,text_1,audio_ref_2_1,audio_ref_2_2,audio_2-1,audio_2-2,audio_2-3,audio_2-4,audio_2-5,audio_2-6,audio_2-7,audio_2-8,audio_2-9,text_2,audio_ref_3_1,audio_ref_3_2,audio_3-1,audio_3-2,audio_3-3,audio_3-4,audio_3-5,audio_3-6,audio_3-7,audio_3-8,audio_3-9,text_3,audio_ref_4_1,audio_ref_4_2,audio_4-1,audio_4-2,audio_4-3,audio_4-4,audio_4-5,audio_4-6,audio_4-7,audio_4-8,audio_4-9,text_4
p253/ref/p253_142.wav,p253/ref/p253_354.wav,p253/FT-mask/mask/p253_300-epoch=6-batch_idx=0.wav,p253/libri_mask-FT/FT/p253_300-epoch=11-batch_idx=0.wav,p253/mask-FT/FT/p253_300-epoch=6-batch_idx=0.wav,p253/libri_mask-FT/libri_mask/p253_300-epoch=10-batch_idx=0.wav,p253/joint/joint/p253_300-epoch=9-batch_idx=0.wav,p253/FT-mask/FT/p253_300-epoch=0-batch_idx=0.wav,p253/mask-FT/mask/p253_300-epoch=5-batch_idx=0.wav,p253/raw/p253_300.wav,p253/recon/p253_300.recon.wav,this is a war over our home.,p340/ref/p340_405.wav,p340/ref/p340_176.wav,p340/mask-FT/mask/p340_373-epoch=5-batch_idx=0.wav,p340/raw/p340_373.wav,p340/joint/joint/p340_373-epoch=11-batch_idx=0.wav,p340/FT-mask/FT/p340_373-epoch=0-batch_idx=0.wav,p340/libri_mask-FT/FT/p340_373-epoch=11-batch_idx=0.wav,p340/mask-FT/FT/p340_373-epoch=6-batch_idx=0.wav,p340/FT-mask/mask/p340_373-epoch=6-batch_idx=0.wav,p340/libri_mask-FT/libri_mask/p340_373-epoch=10-batch_idx=0.wav,p340/recon/p340_373.recon.wav,war is not the action.,p249/ref/p249_058.wav,p249/ref/p249_192.wav,p249/libri_mask-FT/libri_mask/p249_240-epoch=5-batch_idx=0.wav,p249/mask-FT/mask/p249_240-epoch=5-batch_idx=0.wav,p249/recon/p249_240.recon.wav,p249/FT-mask/FT/p249_240-epoch=0-batch_idx=0.wav,p249/raw/p249_240.wav,p249/joint/joint/p249_240-epoch=6-batch_idx=0.wav,p249/FT-mask/mask/p249_240-epoch=6-batch_idx=0.wav,p249/mask-FT/FT/p249_240-epoch=6-batch_idx=0.wav,p249/libri_mask-FT/FT/p249_240-epoch=6-batch_idx=0.wav,"it's a lovely, lovely film.",p239/ref/p239_454.wav,p239/ref/p239_108.wav,p239/libri_mask-FT/FT/p239_245-epoch=9-batch_idx=0.wav,p239/raw/p239_245.wav,p239/joint/joint/p239_245-epoch=8-batch_idx=0.wav,p239/FT-mask/mask/p239_245-epoch=4-batch_idx=0.wav,p239/mask-FT/FT/p239_245-epoch=6-batch_idx=0.wav,p239/libri_mask-FT/libri_mask/p239_245-epoch=8-batch_idx=0.wav,p239/mask-FT/mask/p239_245-epoch=5-batch_idx=0.wav,p239/recon/p239_245.recon.wav,p239/FT-mask/FT/p239_245-epoch=0-batch_idx=0.wav,do i think about them often?
p285/ref/p285_277.wav,p285/ref/p285_310.wav,p285/joint/joint/p285_175-epoch=5-batch_idx=0.wav,p285/libri_mask-FT/FT/p285_175-epoch=6-batch_idx=0.wav,p285/libri_mask-FT/libri_mask/p285_175-epoch=5-batch_idx=0.wav,p285/mask-FT/mask/p285_175-epoch=5-batch_idx=0.wav,p285/FT-mask/FT/p285_175-epoch=0-batch_idx=0.wav,p285/raw/p285_175.wav,p285/recon/p285_175.recon.wav,p285/mask-FT/FT/p285_175-epoch=6-batch_idx=0.wav,p285/FT-mask/mask/p285_175-epoch=6-batch_idx=0.wav,it is not either national standards or local control.,p374/ref/p374_381.wav,p374/ref/p374_418.wav,p374/mask-FT/FT/p374_107-epoch=6-batch_idx=0.wav,p374/FT-mask/mask/p374_107-epoch=6-batch_idx=0.wav,p374/joint/joint/p374_107-epoch=5-batch_idx=0.wav,p374/libri_mask-FT/libri_mask/p374_107-epoch=6-batch_idx=0.wav,p374/mask-FT/mask/p374_107-epoch=5-batch_idx=0.wav,p374/FT-mask/FT/p374_107-epoch=0-batch_idx=0.wav,p374/libri_mask-FT/FT/p374_107-epoch=7-batch_idx=0.wav,p374/recon/p374_107.recon.wav,p374/raw/p374_107.wav,we're all paying for it.,p240/ref/p240_252.wav,p240/ref/p240_127.wav,p240/mask-FT/FT/p240_165-epoch=6-batch_idx=0.wav,p240/libri_mask-FT/FT/p240_165-epoch=8-batch_idx=0.wav,p240/mask-FT/mask/p240_165-epoch=5-batch_idx=0.wav,p240/libri_mask-FT/libri_mask/p240_165-epoch=7-batch_idx=0.wav,p240/joint/joint/p240_165-epoch=9-batch_idx=0.wav,p240/raw/p240_165.wav,p240/recon/p240_165.recon.wav,p240/FT-mask/FT/p240_165-epoch=0-batch_idx=0.wav,p240/FT-mask/mask/p240_165-epoch=6-batch_idx=0.wav,tell it like it was?,p360/ref/p360_226.wav,p360/ref/p360_265.wav,p360/recon/p360_362.recon.wav,p360/joint/joint/p360_362-epoch=5-batch_idx=0.wav,p360/mask-FT/mask/p360_362-epoch=5-batch_idx=0.wav,p360/FT-mask/mask/p360_362-epoch=6-batch_idx=0.wav,p360/raw/p360_362.wav,p360/mask-FT/FT/p360_362-epoch=6-batch_idx=0.wav,p360/FT-mask/FT/p360_362-epoch=0-batch_idx=0.wav,p360/libri_mask-FT/libri_mask/p360_362-epoch=5-batch_idx=0.wav,p360/libri_mask-FT/FT/p360_362-epoch=6-batch_idx=0.wav,it's something he has worked very hard on.
p255/ref/p255_365.wav,p255/ref/p255_023.wav,p255/joint/joint/p255_147-epoch=5-batch_idx=0.wav,p255/libri_mask-FT/libri_mask/p255_147-epoch=9-batch_idx=0.wav,p255/recon/p255_147.recon.wav,p255/raw/p255_147.wav,p255/FT-mask/FT/p255_147-epoch=0-batch_idx=0.wav,p255/FT-mask/mask/p255_147-epoch=6-batch_idx=0.wav,p255/mask-FT/FT/p255_147-epoch=6-batch_idx=0.wav,p255/libri_mask-FT/FT/p255_147-epoch=10-batch_idx=0.wav,p255/mask-FT/mask/p255_147-epoch=5-batch_idx=0.wav,i was awful.,p237/ref/p237_253.wav,p237/ref/p237_054.wav,p237/mask-FT/FT/p237_036-epoch=6-batch_idx=0.wav,p237/recon/p237_036.recon.wav,p237/libri_mask-FT/FT/p237_036-epoch=6-batch_idx=0.wav,p237/joint/joint/p237_036-epoch=5-batch_idx=0.wav,p237/FT-mask/mask/p237_036-epoch=6-batch_idx=0.wav,p237/libri_mask-FT/libri_mask/p237_036-epoch=5-batch_idx=0.wav,p237/FT-mask/FT/p237_036-epoch=0-batch_idx=0.wav,p237/mask-FT/mask/p237_036-epoch=5-batch_idx=0.wav,p237/raw/p237_036.wav,they're just different.,p262/ref/p262_358.wav,p262/ref/p262_197.wav,p262/libri_mask-FT/FT/p262_054-epoch=8-batch_idx=0.wav,p262/mask-FT/FT/p262_054-epoch=6-batch_idx=0.wav,p262/FT-mask/mask/p262_054-epoch=5-batch_idx=0.wav,p262/recon/p262_054.recon.wav,p262/joint/joint/p262_054-epoch=6-batch_idx=0.wav,p262/libri_mask-FT/libri_mask/p262_054-epoch=7-batch_idx=0.wav,p262/mask-FT/mask/p262_054-epoch=5-batch_idx=0.wav,p262/FT-mask/FT/p262_054-epoch=0-batch_idx=0.wav,p262/raw/p262_054.wav,"already, he has been a tremendous influence in the dressing room.",p304/ref/p304_373.wav,p304/ref/p304_225.wav,p304/joint/joint/p304_381-epoch=5-batch_idx=0.wav,p304/raw/p304_381.wav,p304/mask-FT/FT/p304_381-epoch=6-batch_idx=0.wav,p304/recon/p304_381.recon.wav,p304/FT-mask/FT/p304_381-epoch=0-batch_idx=0.wav,p304/libri_mask-FT/libri_mask/p304_381-epoch=8-batch_idx=0.wav,p304/FT-mask/mask/p304_381-epoch=6-batch_idx=0.wav,p304/libri_mask-FT/FT/p304_381-epoch=9-batch_idx=0.wav,p304/mask-FT/mask/p304_381-epoch=5-batch_idx=0.wav,she failed to win any of them.
p347/ref/p347_282.wav,p347/ref/p347_081.wav,p347/mask-FT/FT/p347_213-epoch=6-batch_idx=0.wav,p347/mask-FT/mask/p347_213-epoch=5-batch_idx=0.wav,p347/raw/p347_213.wav,p347/joint/joint/p347_213-epoch=5-batch_idx=0.wav,p347/libri_mask-FT/libri_mask/p347_213-epoch=6-batch_idx=0.wav,p347/recon/p347_213.recon.wav,p347/libri_mask-FT/FT/p347_213-epoch=7-batch_idx=0.wav,p347/FT-mask/FT/p347_213-epoch=0-batch_idx=0.wav,p347/FT-mask/mask/p347_213-epoch=6-batch_idx=0.wav,or some thought that they have.,p243/ref/p243_189.wav,p243/ref/p243_348.wav,p243/libri_mask-FT/libri_mask/p243_279-epoch=6-batch_idx=0.wav,p243/mask-FT/mask/p243_279-epoch=5-batch_idx=0.wav,p243/joint/joint/p243_279-epoch=7-batch_idx=0.wav,p243/recon/p243_279.recon.wav,p243/libri_mask-FT/FT/p243_279-epoch=7-batch_idx=0.wav,p243/FT-mask/FT/p243_279-epoch=0-batch_idx=0.wav,p243/mask-FT/FT/p243_279-epoch=6-batch_idx=0.wav,p243/raw/p243_279.wav,p243/FT-mask/mask/p243_279-epoch=6-batch_idx=0.wav,yesterday's session was the last full one before christmas.,p305/ref/p305_196.wav,p305/ref/p305_316.wav,p305/recon/p305_249.recon.wav,p305/joint/joint/p305_249-epoch=6-batch_idx=0.wav,p305/raw/p305_249.wav,p305/FT-mask/mask/p305_249-epoch=6-batch_idx=0.wav,p305/mask-FT/mask/p305_249-epoch=5-batch_idx=0.wav,p305/libri_mask-FT/libri_mask/p305_249-epoch=10-batch_idx=0.wav,p305/mask-FT/FT/p305_249-epoch=6-batch_idx=0.wav,p305/FT-mask/FT/p305_249-epoch=0-batch_idx=0.wav,p305/libri_mask-FT/FT/p305_249-epoch=11-batch_idx=0.wav,we have reports of this throughout scotland.,p302/ref/p302_015.wav,p302/ref/p302_175.wav,p302/recon/p302_306.recon.wav,p302/libri_mask-FT/libri_mask/p302_306-epoch=8-batch_idx=0.wav,p302/joint/joint/p302_306-epoch=8-batch_idx=0.wav,p302/libri_mask-FT/FT/p302_306-epoch=14-batch_idx=0.wav,p302/FT-mask/FT/p302_306-epoch=14-batch_idx=0.wav,p302/mask-FT/FT/p302_306-epoch=11-batch_idx=0.wav,p302/mask-FT/mask/p302_306-epoch=5-batch_idx=0.wav,p302/raw/p302_306.wav,p302/FT-mask/mask/p302_306-epoch=18-batch_idx=0.wav,we are determined to establish the facts.
p326/ref/p326_219.wav,p326/ref/p326_110.wav,p326/raw/p326_144.wav,p326/mask-FT/FT/p326_144-epoch=11-batch_idx=0.wav,p326/FT-mask/mask/p326_144-epoch=8-batch_idx=0.wav,p326/recon/p326_144.recon.wav,p326/joint/joint/p326_144-epoch=5-batch_idx=0.wav,p326/FT-mask/FT/p326_144-epoch=4-batch_idx=0.wav,p326/libri_mask-FT/libri_mask/p326_144-epoch=6-batch_idx=0.wav,p326/mask-FT/mask/p326_144-epoch=5-batch_idx=0.wav,p326/libri_mask-FT/FT/p326_144-epoch=11-batch_idx=0.wav,i've grown up a bit.,p336/ref/p336_419.wav,p336/ref/p336_398.wav,p336/recon/p336_096.recon.wav,p336/joint/joint/p336_096-epoch=13-batch_idx=0.wav,p336/mask-FT/FT/p336_096-epoch=8-batch_idx=0.wav,p336/FT-mask/FT/p336_096-epoch=10-batch_idx=0.wav,p336/libri_mask-FT/FT/p336_096-epoch=14-batch_idx=0.wav,p336/FT-mask/mask/p336_096-epoch=14-batch_idx=0.wav,p336/libri_mask-FT/libri_mask/p336_096-epoch=7-batch_idx=0.wav,p336/mask-FT/mask/p336_096-epoch=5-batch_idx=0.wav,p336/raw/p336_096.wav,"sub not used, mackay.",p254/ref/p254_273.wav,p254/ref/p254_241.wav,p254/raw/p254_256.wav,p254/joint/joint/p254_256-epoch=5-batch_idx=0.wav,p254/mask-FT/mask/p254_256-epoch=5-batch_idx=0.wav,p254/FT-mask/FT/p254_256-epoch=0-batch_idx=0.wav,p254/libri_mask-FT/libri_mask/p254_256-epoch=6-batch_idx=0.wav,p254/recon/p254_256.recon.wav,p254/libri_mask-FT/FT/p254_256-epoch=7-batch_idx=0.wav,p254/mask-FT/FT/p254_256-epoch=6-batch_idx=0.wav,p254/FT-mask/mask/p254_256-epoch=6-batch_idx=0.wav,"for the scottish judges, the affair is very delicate and unique.",p263/ref/p263_108.wav,p263/ref/p263_055.wav,p263/libri_mask-FT/FT/p263_244-epoch=8-batch_idx=0.wav,p263/libri_mask-FT/libri_mask/p263_244-epoch=7-batch_idx=0.wav,p263/raw/p263_244.wav,p263/FT-mask/FT/p263_244-epoch=0-batch_idx=0.wav,p263/mask-FT/mask/p263_244-epoch=5-batch_idx=0.wav,p263/mask-FT/FT/p263_244-epoch=6-batch_idx=0.wav,p263/FT-mask/mask/p263_244-epoch=6-batch_idx=0.wav,p263/joint/joint/p263_244-epoch=6-batch_idx=0.wav,p263/recon/p263_244.recon.wav,i always felt that i was in control of the match.
p269/ref/p269_258.wav,p269/ref/p269_146.wav,p269/recon/p269_179.recon.wav,p269/FT-mask/FT/p269_179-epoch=6-batch_idx=0.wav,p269/raw/p269_179.wav,p269/mask-FT/FT/p269_179-epoch=7-batch_idx=0.wav,p269/joint/joint/p269_179-epoch=14-batch_idx=0.wav,p269/libri_mask-FT/FT/p269_179-epoch=7-batch_idx=0.wav,p269/FT-mask/mask/p269_179-epoch=10-batch_idx=0.wav,p269/libri_mask-FT/libri_mask/p269_179-epoch=5-batch_idx=0.wav,p269/mask-FT/mask/p269_179-epoch=5-batch_idx=0.wav,but the petrol station does not get the benefit.,p283/ref/p283_135.wav,p283/ref/p283_178.wav,p283/FT-mask/FT/p283_339-epoch=0-batch_idx=0.wav,p283/mask-FT/mask/p283_339-epoch=5-batch_idx=0.wav,p283/raw/p283_339.wav,p283/recon/p283_339.recon.wav,p283/libri_mask-FT/FT/p283_339-epoch=6-batch_idx=0.wav,p283/mask-FT/FT/p283_339-epoch=6-batch_idx=0.wav,p283/FT-mask/mask/p283_339-epoch=5-batch_idx=0.wav,p283/libri_mask-FT/libri_mask/p283_339-epoch=5-batch_idx=0.wav,p283/joint/joint/p283_339-epoch=6-batch_idx=0.wav,we need to increase the membership.,p257/ref/p257_210.wav,p257/ref/p257_154.wav,p257/recon/p257_297.recon.wav,p257/mask-FT/mask/p257_297-epoch=5-batch_idx=0.wav,p257/FT-mask/FT/p257_297-epoch=5-batch_idx=0.wav,p257/libri_mask-FT/libri_mask/p257_297-epoch=6-batch_idx=0.wav,p257/FT-mask/mask/p257_297-epoch=10-batch_idx=0.wav,p257/raw/p257_297.wav,p257/joint/joint/p257_297-epoch=9-batch_idx=0.wav,p257/mask-FT/FT/p257_297-epoch=16-batch_idx=0.wav,p257/libri_mask-FT/FT/p257_297-epoch=11-batch_idx=0.wav,a thousand years ago the church was a powerful force in europe.,p277/ref/p277_371.wav,p277/ref/p277_072.wav,p277/libri_mask-FT/libri_mask/p277_387-epoch=5-batch_idx=0.wav,p277/libri_mask-FT/FT/p277_387-epoch=6-batch_idx=0.wav,p277/recon/p277_387.recon.wav,p277/FT-mask/FT/p277_387-epoch=0-batch_idx=0.wav,p277/joint/joint/p277_387-epoch=5-batch_idx=0.wav,p277/raw/p277_387.wav,p277/mask-FT/FT/p277_387-epoch=6-batch_idx=0.wav,p277/FT-mask/mask/p277_387-epoch=5-batch_idx=0.wav,p277/mask-FT/mask/p277_387-epoch=5-batch_idx=0.wav,i was in the train station overnight.
p244/ref/p244_085.wav,p244/ref/p244_063.wav,p244/recon/p244_178.recon.wav,p244/joint/joint/p244_178-epoch=13-batch_idx=0.wav,p244/raw/p244_178.wav,p244/FT-mask/mask/p244_178-epoch=6-batch_idx=0.wav,p244/libri_mask-FT/libri_mask/p244_178-epoch=5-batch_idx=0.wav,p244/mask-FT/FT/p244_178-epoch=6-batch_idx=0.wav,p244/FT-mask/FT/p244_178-epoch=0-batch_idx=0.wav,p244/libri_mask-FT/FT/p244_178-epoch=6-batch_idx=0.wav,p244/mask-FT/mask/p244_178-epoch=5-batch_idx=0.wav,"it sounds like an appalling, tragic incident.",p251/ref/p251_319.wav,p251/ref/p251_135.wav,p251/recon/p251_130.recon.wav,p251/libri_mask-FT/libri_mask/p251_130-epoch=6-batch_idx=0.wav,p251/mask-FT/FT/p251_130-epoch=6-batch_idx=0.wav,p251/raw/p251_130.wav,p251/joint/joint/p251_130-epoch=5-batch_idx=0.wav,p251/FT-mask/mask/p251_130-epoch=6-batch_idx=0.wav,p251/mask-FT/mask/p251_130-epoch=5-batch_idx=0.wav,p251/libri_mask-FT/FT/p251_130-epoch=7-batch_idx=0.wav,p251/FT-mask/FT/p251_130-epoch=0-batch_idx=0.wav,we had a reunion last week.,p299/ref/p299_073.wav,p299/ref/p299_300.wav,p299/mask-FT/mask/p299_397-epoch=5-batch_idx=0.wav,p299/joint/joint/p299_397-epoch=5-batch_idx=0.wav,p299/libri_mask-FT/FT/p299_397-epoch=7-batch_idx=0.wav,p299/recon/p299_397.recon.wav,p299/libri_mask-FT/libri_mask/p299_397-epoch=6-batch_idx=0.wav,p299/mask-FT/FT/p299_397-epoch=6-batch_idx=0.wav,p299/FT-mask/mask/p299_397-epoch=6-batch_idx=0.wav,p299/FT-mask/FT/p299_397-epoch=0-batch_idx=0.wav,p299/raw/p299_397.wav,jack mcconnell is the obvious choice.,p246/ref/p246_277.wav,p246/ref/p246_093.wav,p246/libri_mask-FT/libri_mask/p246_010-epoch=5-batch_idx=0.wav,p246/FT-mask/mask/p246_010-epoch=6-batch_idx=0.wav,p246/FT-mask/FT/p246_010-epoch=0-batch_idx=0.wav,p246/libri_mask-FT/FT/p246_010-epoch=6-batch_idx=0.wav,p246/recon/p246_010.recon.wav,p246/mask-FT/mask/p246_010-epoch=5-batch_idx=0.wav,p246/mask-FT/FT/p246_010-epoch=6-batch_idx=0.wav,p246/raw/p246_010.wav,p246/joint/joint/p246_010-epoch=5-batch_idx=0.wav,"people look, but no one ever finds it. "
p334/ref/p334_191.wav,p334/ref/p334_053.wav,p334/libri_mask-FT/libri_mask/p334_237-epoch=8-batch_idx=0.wav,p334/FT-mask/FT/p334_237-epoch=10-batch_idx=0.wav,p334/joint/joint/p334_237-epoch=12-batch_idx=0.wav,p334/raw/p334_237.wav,p334/recon/p334_237.recon.wav,p334/mask-FT/mask/p334_237-epoch=5-batch_idx=0.wav,p334/mask-FT/FT/p334_237-epoch=14-batch_idx=0.wav,p334/libri_mask-FT/FT/p334_237-epoch=13-batch_idx=0.wav,p334/FT-mask/mask/p334_237-epoch=14-batch_idx=0.wav,after that it is up to the boss.,s5/ref/s5_382.wav,s5/ref/s5_266.wav,s5/FT-mask/mask/s5_035-epoch=6-batch_idx=0.wav,s5/recon/s5_035.recon.wav,s5/libri_mask-FT/libri_mask/s5_035-epoch=6-batch_idx=0.wav,s5/FT-mask/FT/s5_035-epoch=0-batch_idx=0.wav,s5/mask-FT/mask/s5_035-epoch=5-batch_idx=0.wav,s5/mask-FT/FT/s5_035-epoch=6-batch_idx=0.wav,s5/raw/s5_035.wav,s5/joint/joint/s5_035-epoch=10-batch_idx=0.wav,s5/libri_mask-FT/FT/s5_035-epoch=7-batch_idx=0.wav,i got in with a bad crowd.,p363/ref/p363_220.wav,p363/ref/p363_200.wav,p363/mask-FT/mask/p363_036-epoch=5-batch_idx=0.wav,p363/recon/p363_036.recon.wav,p363/raw/p363_036.wav,p363/FT-mask/FT/p363_036-epoch=0-batch_idx=0.wav,p363/libri_mask-FT/FT/p363_036-epoch=7-batch_idx=0.wav,p363/libri_mask-FT/libri_mask/p363_036-epoch=5-batch_idx=0.wav,p363/FT-mask/mask/p363_036-epoch=5-batch_idx=0.wav,p363/mask-FT/FT/p363_036-epoch=6-batch_idx=0.wav,p363/joint/joint/p363_036-epoch=7-batch_idx=0.wav,it certainly is cause for concern.,p292/ref/p292_238.wav,p292/ref/p292_371.wav,p292/recon/p292_365.recon.wav,p292/joint/joint/p292_365-epoch=5-batch_idx=0.wav,p292/libri_mask-FT/FT/p292_365-epoch=10-batch_idx=0.wav,p292/mask-FT/mask/p292_365-epoch=5-batch_idx=0.wav,p292/libri_mask-FT/libri_mask/p292_365-epoch=9-batch_idx=0.wav,p292/mask-FT/FT/p292_365-epoch=6-batch_idx=0.wav,p292/FT-mask/mask/p292_365-epoch=6-batch_idx=0.wav,p292/FT-mask/FT/p292_365-epoch=0-batch_idx=0.wav,p292/raw/p292_365.wav,and does it even matter?
p312/ref/p312_379.wav,p312/ref/p312_118.wav,p312/libri_mask-FT/FT/p312_216-epoch=7-batch_idx=0.wav,p312/libri_mask-FT/libri_mask/p312_216-epoch=6-batch_idx=0.wav,p312/raw/p312_216.wav,p312/mask-FT/FT/p312_216-epoch=7-batch_idx=0.wav,p312/recon/p312_216.recon.wav,p312/joint/joint/p312_216-epoch=10-batch_idx=0.wav,p312/FT-mask/FT/p312_216-epoch=0-batch_idx=0.wav,p312/FT-mask/mask/p312_216-epoch=6-batch_idx=0.wav,p312/mask-FT/mask/p312_216-epoch=5-batch_idx=0.wav,there were no casualties.,p301/ref/p301_361.wav,p301/ref/p301_391.wav,p301/libri_mask-FT/libri_mask/p301_292-epoch=6-batch_idx=0.wav,p301/joint/joint/p301_292-epoch=5-batch_idx=0.wav,p301/libri_mask-FT/FT/p301_292-epoch=7-batch_idx=0.wav,p301/FT-mask/mask/p301_292-epoch=6-batch_idx=0.wav,p301/FT-mask/FT/p301_292-epoch=0-batch_idx=0.wav,p301/recon/p301_292.recon.wav,p301/mask-FT/FT/p301_292-epoch=6-batch_idx=0.wav,p301/mask-FT/mask/p301_292-epoch=5-batch_idx=0.wav,p301/raw/p301_292.wav,"he is married, with one daughter, and lives in kent.",p308/ref/p308_352.wav,p308/ref/p308_279.wav,p308/mask-FT/FT/p308_060-epoch=6-batch_idx=0.wav,p308/raw/p308_060.wav,p308/FT-mask/mask/p308_060-epoch=6-batch_idx=0.wav,p308/libri_mask-FT/FT/p308_060-epoch=9-batch_idx=0.wav,p308/libri_mask-FT/libri_mask/p308_060-epoch=6-batch_idx=0.wav,p308/joint/joint/p308_060-epoch=14-batch_idx=0.wav,p308/FT-mask/FT/p308_060-epoch=3-batch_idx=0.wav,p308/mask-FT/mask/p308_060-epoch=5-batch_idx=0.wav,p308/recon/p308_060.recon.wav,ms mcneill was killed on impact.,p307/ref/p307_182.wav,p307/ref/p307_313.wav,p307/FT-mask/mask/p307_092-epoch=6-batch_idx=0.wav,p307/FT-mask/FT/p307_092-epoch=0-batch_idx=0.wav,p307/raw/p307_092.wav,p307/joint/joint/p307_092-epoch=8-batch_idx=0.wav,p307/mask-FT/FT/p307_092-epoch=7-batch_idx=0.wav,p307/libri_mask-FT/libri_mask/p307_092-epoch=5-batch_idx=0.wav,p307/libri_mask-FT/FT/p307_092-epoch=6-batch_idx=0.wav,p307/recon/p307_092.recon.wav,p307/mask-FT/mask/p307_092-epoch=6-batch_idx=0.wav,"one film a year is, he says, his natural rhythm."
p317/ref/p317_331.wav,p317/ref/p317_253.wav,p317/mask-FT/FT/p317_160-epoch=6-batch_idx=0.wav,p317/libri_mask-FT/libri_mask/p317_160-epoch=7-batch_idx=0.wav,p317/raw/p317_160.wav,p317/mask-FT/mask/p317_160-epoch=5-batch_idx=0.wav,p317/FT-mask/FT/p317_160-epoch=0-batch_idx=0.wav,p317/libri_mask-FT/FT/p317_160-epoch=8-batch_idx=0.wav,p317/FT-mask/mask/p317_160-epoch=6-batch_idx=0.wav,p317/recon/p317_160.recon.wav,p317/joint/joint/p317_160-epoch=5-batch_idx=0.wav,how can you not react?,p314/ref/p314_390.wav,p314/ref/p314_120.wav,p314/mask-FT/FT/p314_036-epoch=6-batch_idx=0.wav,p314/raw/p314_036.wav,p314/libri_mask-FT/libri_mask/p314_036-epoch=7-batch_idx=0.wav,p314/mask-FT/mask/p314_036-epoch=5-batch_idx=0.wav,p314/libri_mask-FT/FT/p314_036-epoch=8-batch_idx=0.wav,p314/joint/joint/p314_036-epoch=6-batch_idx=0.wav,p314/FT-mask/FT/p314_036-epoch=0-batch_idx=0.wav,p314/recon/p314_036.recon.wav,p314/FT-mask/mask/p314_036-epoch=6-batch_idx=0.wav,but she was very human.,p250/ref/p250_249.wav,p250/ref/p250_269.wav,p250/FT-mask/FT/p250_332-epoch=16-batch_idx=0.wav,p250/raw/p250_332.wav,p250/libri_mask-FT/FT/p250_332-epoch=12-batch_idx=0.wav,p250/joint/joint/p250_332-epoch=20-batch_idx=0.wav,p250/recon/p250_332.recon.wav,p250/mask-FT/mask/p250_332-epoch=5-batch_idx=0.wav,p250/FT-mask/mask/p250_332-epoch=21-batch_idx=0.wav,p250/mask-FT/FT/p250_332-epoch=12-batch_idx=0.wav,p250/libri_mask-FT/libri_mask/p250_332-epoch=6-batch_idx=0.wav,we believe the world has too many refugees already.,p271/ref/p271_400.wav,p271/ref/p271_126.wav,p271/recon/p271_338.recon.wav,p271/FT-mask/FT/p271_338-epoch=0-batch_idx=0.wav,p271/joint/joint/p271_338-epoch=6-batch_idx=0.wav,p271/libri_mask-FT/libri_mask/p271_338-epoch=6-batch_idx=0.wav,p271/FT-mask/mask/p271_338-epoch=6-batch_idx=0.wav,p271/mask-FT/mask/p271_338-epoch=5-batch_idx=0.wav,p271/raw/p271_338.wav,p271/mask-FT/FT/p271_338-epoch=6-batch_idx=0.wav,p271/libri_mask-FT/FT/p271_338-epoch=7-batch_idx=0.wav,that's not eviction because he is not a tenant.
